,cond(AtA),NRMSE (НУ),Время НУ (с),cond(A),NRMSE (QR),Время QR (с)
1,1.92e+01,2.76e-02,1.10e-03,4.39e+00,2.76e-02,1.37e-01
2,4.32e+02,2.32e-03,1.79e-04,2.08e+01,2.32e-03,1.63e-01
3,1.50e+04,1.46e-04,1.31e-03,1.22e+02,1.46e-04,2.12e-01
4,4.48e+05,7.32e-06,1.96e-04,6.69e+02,7.32e-06,2.71e-01
5,1.42e+07,3.06e-07,1.10e-03,3.77e+03,3.06e-07,4.82e-01
6,4.46e+08,1.09e-08,2.83e-04,2.11e+04,1.09e-08,6.36e-01
7,1.43e+10,3.43e-10,2.16e-04,1.19e+05,3.43e-10,4.71e-01
8,4.58e+11,5.71e-11,2.68e-04,6.77e+05,9.54e-12,5.36e-01
9,1.48e+13,2.95e-10,2.84e-04,3.84e+06,2.39e-13,5.51e-01
10,4.65e+14,8.99e-10,2.91e-04,2.19e+07,5.46e-15,5.97e-01
